,UF,Município,Estabelecimento,Tipo,Endereço
360,CE,Fortaleza,"CAPS INFANTIL MARIA ILEUDA VERCOSA","CAPS i","RUA ALBERTO LEAL NUNES, 75 Bairro: CIDADE DOS FUNCIONAR CEP: 60822700 Fone: 31051510"
361,CE,Fortaleza,"CAPS INFANTIL ESTUDANTE NOGUEIRA JUCA SER III","CAPS i","RUA PORFIRIO SAMPAIO, 1905 Bairro: RODOLFO TEOFILO CEP: 60430540 Fone: 31053721"
362,CE,Fortaleza,"CAPS GERAL SER IV","CAPS I","AVENIDA BORGES DE MELO, 201 Bairro: JARDIM AMERICA CEP: 60415510 Fone: 31311690"
363,CE,Fortaleza,"CAPS GERAL SER VI","CAPS II","RUA CARLOTA RODRIGUES, 81 Bairro: MESSEJANA CEP: 60871610 Fone: 85 34883312"
364,CE,Fortaleza,"CAPS GERAL SER V","CAPS II","RUA BOM JESUS, 940 Bairro: BOM JARDIM CEP: 60543362 Fone: 85 32457956"
365,CE,Fortaleza,"CAPS GERAL SER I","CAPS II","RUA SOARES BULCAO, 1494 Bairro: SAO GERARDO CEP: 60325640 Fone: 3452 1960"
366,CE,Fortaleza,"CAPS GERAL SER II","CAPS II","RUA PINTO MADEIRA, 1550 Bairro: ALDEOTA CEP: 60150055 Fone: 31052632"
367,CE,Fortaleza,"CAPS GERAL SER III","CAPS II","RUA CAPITAO FRANCISCO PEDRO, 1269 Bairro: RODOLFO TEOFILO CEP: 60430375 Fone: 3433 2568"
368,CE,Granja,"CAPS II CENTRO DE ATENCAO PSICOSSOCIAL DE GRANJA","CAPS II","RUA FRANCISCO SOUSA, 332 Bairro: CENTRO CEP: 62430000"
369,CE,Guaiúba,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL DE GUAIUBA","CAPS I","R SINVAL LEITAO, S/N Bairro: 17 DE MARCO CEP: 61890000 Fone: 08533761009"
370,CE,"Guaraciaba do Norte","CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA NOSSA SENHORA DOS PRAZERES, S/N Bairro: MONSENHOR EURICO CEP: 62380000 Fone: 88-36522176"
371,CE,Horizonte,"CAPS AD DE HORIZONTE","CAPS AD","RUA RAIMUNDO NONATO DE CARVALHO, 60 Bairro: PLANALTO HORIZONTE CEP: 62884150 Fone: (85)33366050"
372,CE,Horizonte,"CAPS DE HORIZONTE 1","CAPS I","RUA RAIMUNDO NONATO DE CARVALHO, 48 Bairro: PLANALTO HORIZONTE CEP: 62884150 Fone: (85)3366042"
373,CE,Ibiapina,"CAPS I IBIAPINA","CAPS I","RUA VEREADOR MANOEL RODRIGUES, S/N Bairro: CENTRO CEP: 62360000 Fone: (88)36531166"
374,CE,Icapuí,"CENTRO DE ATENCAO PSICOSSOCIAL PERGENTINO REBOUCAS MAIA","CAPS I","RUA FLORIANO MONTEIRO, S/N Bairro: CENTRO CEP: 62810000 Fone: 08834321203"
375,CE,Icó,"CAPS AD","CAPS AD","RUA BENJAMIM CONSTANT, 560 Bairro: CENTRO CEP: 63430000 Fone: 35611474"
376,CE,Icó,"CASA DE JOAO E MARIA","CAPS i","RUA SAMUEL ANTERO, 1266 Bairro: CENTRO CEP: 63430000"
377,CE,Icó,"CAPS DE ICO 2","CAPS II","RUA JOSE RIBEIRO MONTE, 608 Bairro: CENTRO CEP: 63430000 Fone: 5611282"
378,CE,Iguatu,"CAPS ADII CENTRO ATENCAO PSICOSOCIAL ALCOOL E OUTRAS DROGAS","CAPS AD","RUA ENGENHEIRO WILTON CORREIA LIMA, 610 Bairro: PRADO CEP: 63502108 Fone: 35811126"
379,CE,Iguatu,"CENTRO ATENCAO PSICOSSOCIAL INFANCIA E ADOLESC CAPS I","CAPS i","RUA JULIO CAVALCANTE, 708 Bairro: TABOLEIRO CEP: 63500292 Fone: 35811444"
380,CE,Iguatu,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS III DE IGUATU","CAPS III","RUA 27 DE NOVEMBRO, 569 Bairro: PRADO CEP: 63502203 Fone: (88)35819233"
381,CE,Ipu,"CENTRO DE ATENCAO PSICOSSOCIAL DE IPU","CAPS I","RUA DR CHAGAS PINTO, S/N Bairro: CENTRO CEP: 62250000 Fone: 8897281414"
382,CE,Ipueiras,"CENTRO DE ATENCAO PSICOSSOCIAL DE IPUEIRAS","CAPS I","RUA MARIANO RIBEIRO DE OLIVEIRA, S/N Bairro: CENTRO CEP: 62230000"
383,CE,Irauçuba,"CAPS I IRAUCUBA","CAPS I","RUA VALDIR DE ANDRADE BRAGA, 328 Bairro: CENTRO CEP: 62620000"
384,CE,Itaitinga,"CAPS 1 SAO FRANCISCO DE ASSIS ITAITINGA","CAPS I","RUA JOAQUIM PEREIRA DA SILVEIRA, 226 Bairro: PARQUE GENEZARE CEP: 61880000 Fone: 8533772610"
385,CE,Itapagé,"CAPS ITAPAJE","CAPS I","RUA VIRGILIO MUNIZ FARRAPOS, 54 Bairro: MONTE CASTELO CEP: 62600000 Fone: (85)33461634"
386,CE,Itapipoca,"CAPS DE ITAPIPOCA CAPS 2","CAPS II","RUA JOSE ROMERO, S/N Bairro: CENTRO CEP: 62500061 Fone: 88 36315950"
387,CE,Itapiúna,"CENTRO DE ATENCAO PSICOSSOCIAL DE ITAPIUNA CAPS","CAPS I","RUA COSMO SANTOS, S/N Bairro: PLANALTO CEP: 62740000"
388,CE,Itarema,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS II","AVENIDA RIOS, 01 Bairro: CENTRO CEP: 62590000 Fone: (88)988854618"
389,CE,Jaguaretama,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","ADOLFO BEZERRA DE MENEZES, 409 Bairro: CENTRO CEP: 63480000 Fone: (88)3576-1895"
390,CE,Jaguaruana,"CAPS DE JAGUARUANA","CAPS I","AVENIDA SIMAO DE GOIS, S/N Bairro: CENTRO CEP: 62823000"
391,CE,Jardim,"CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA LEONEL ALENCAR, 150 Bairro: CENTRO CEP: 63290000"
392,CE,"Juazeiro do Norte","CAPS AD DE JUAZEIRO DO NORTE","CAPS AD","AVENIDA LEANDRO BEZERRA, 335 Bairro: SOCORRO CEP: 63011010 Fone: 3511-4528"
393,CE,"Juazeiro do Norte","CAPS DE JUAZEIRO DO NORTE","CAPS III","RUA RAIMUNDO MACHADO DA SILVA, 236 Bairro: TRIANGULO CEP: 63041187 Fone: 885110380"
394,CE,Jucás,"CENTRO DE ATENCAO PSICOSSOCIAL MARINO BEZERRA DE ALBUQUERQUE","CAPS I","CEL LUIZ DUARTE, S/N Bairro: CENTRO CEP: 63580000"
395,CE,"Lavras da Mangabeira","CAPS I","CAPS I","RUA JOAO LUDGERO SOBREIRA, 196 Bairro: VILA BANCARIA CEP: 63300000 Fone: 3536 2310"
396,CE,"Limoeiro do Norte","CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS CAPS AD","CAPS AD","RUA ESTEVAM REMIGIO, 971 Bairro: CENTRO CEP: 62930000 Fone: 88 34231590"
397,CE,"Limoeiro do Norte","CENTRO DE ATENCAO PSICOSOCIAL CAPS LIMOEIRO DO NORTE","CAPS II","RUA AGUSTO FIDELIS, 2504 Bairro: CENTRO CEP: 62930000 Fone: (88)34234190"
398,CE,Maracanaú,"CAPS AD MARACANAU","CAPS AD","RUA SINFRONIO PEIXOTO, S/N Bairro: BOA ESPERANCA CEP: 61932615"
399,CE,Maracanaú,"CAPS INFANTIL MARACANAU","CAPS i","RUA GRANCISCO FIRMINO, 120 Bairro: CENTRO CEP: 61900120"
400,CE,Maracanaú,"CENTRO DE ATENCAO PSICOSSOCIAL DE MARACANAU CAPS II","CAPS II","RUA CAPITAO VALDEMAR DE LIMA, S/N Bairro: BOA VISTA CEP: 61900310 Fone: (85)3392-8056"
401,CE,Maranguape,"CENTRO DE ATENCAO PSICOSSOCIAL DE MARANGUAPE CAPS AD","CAPS AD","RUA JUSCELINO KUBITSCHECK DE OLIVEIRA, 260 Bairro: PARQUE SANTA FE CEP: 61940145 Fone: 8533699365"
402,CE,Maranguape,"CENTRO DE ATENCAO PISICOSSOCIAL DE MARANGUAPE CAPS INFANTI","CAPS i","AVENIDA STENIO GOMES, 388 Bairro: PARQUE IRACEMA CEP: 61940180 Fone: 8533411995"
403,CE,Maranguape,"CENTRO DE ATENCAO PSICOSSOCIAL DE MARANGUAPE CAPS II","CAPS II","RUA MUNDICA PAULA, 401 Bairro: CENTRO CEP: 61942250 Fone: (85)3699365"
404,CE,Marco,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS II","AV PREFEITO GUIDO OSTERNO, S/N Bairro: CENTRO CEP: 62560000 Fone: (88)36641360"
405,CE,Mauriti,"CAPS DE MAURITI","CAPS II","AV SINVAL LACERDA, S/N Bairro: CENTRO CEP: 63210000"
406,CE,Milagres,"CAPS PEDRO JORGE FILGUEIRA GONCALVES","CAPS I","RUA PADRE MISAEL GOMES, S/N Bairro: MISSIONARIAS CEP: 63250000 Fone: 88 35531751"
407,CE,"Missão Velha","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","AVENIDA CORONEL JOSE DANTAS, S/N Bairro: BOA VISTA CEP: 63200000 Fone: 8835422243"
408,CE,"Monsenhor Tabosa","CENTRO DE ATENCAO PSICOSSOCIAL CAPS 1","CAPS I","RUA ANASTACIO CASSEMIRO, S/N Bairro: CENTRO CEP: 63780000 Fone: 88 36962175"
409,CE,"Morada Nova","CAPS DE MORADA NOVA 2","CAPS II","RUA CORONEL TIBURCIO, 594 Bairro: GIRILANDIA CEP: 62940000 Fone: 34224500"
410,CE,Mulungu,"CENTRO DE ATENCAO PSICOSSOCIAL DE MULUNGU","CAPS I","RUA PADRE BENEDITO, S/N Bairro: CENTRO CEP: 62764000"
411,CE,"Novo Oriente","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","AV DR JOSE MARIA FERNANDES LEITAO, S/N Bairro: CENTRO CEP: 63740000 Fone: 8836291398"
412,CE,Ocara,"CAPS 1 DE OCARA","CAPS I","AVENIDA CORONEL JOAO FELIPE, S/N Bairro: CENTRO CEP: 62755000 Fone: 8533221001"
413,CE,Orós,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","TRAV LIMA VERDE, 126 Bairro: CENTRO CEP: 63520000 Fone: 88 35841239"
414,CE,Pacoti,"CAPS I CONVIVER","CAPS I","RUA PADRE QUILIANO, 124 Bairro: CENTRO CEP: 62770000"
415,CE,Paracuru,"CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA PROFESSORA MARIA LUISA SABOIA, 255 Bairro: CENTRO CEP: 62680000 Fone: 085 33448809"
416,CE,Paraipaba,"CAPS AD PARAIPABA","CAPS AD","RUA ANTONIO EUSEBIO, 252 Bairro: LAGOA DE BEBE CEP: 62685000"
417,CE,Paraipaba,"CAPS PARAIPABA","CAPS I","RUA DOMINGOS BARROSO, S/N Bairro: CENTRO CEP: 62685000"
418,CE,Parambu,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS 1","CAPS I","RUA JOAQUIM NORONHA, S/N Bairro: CENTRO CEP: 63680000 Fone: 88 3441780"
419,CE,"Pedra Branca","CENTRO DE ATENCAO PSICOSSOCIAL ANTONIO RODRIGUES DE OLIVEIRA","CAPS I","RUA ALVARO CESARIO DANTAS, 100 Bairro: DOCA BELO CEP: 63630000 Fone: 88 35152424"
420,CE,Pentecoste,"CAPS DE PENTECOSTE","CAPS I","RUA FRANCISCO FIRMO, S/N Bairro: BARREIROS CEP: 62640000 Fone: 85 33522606"
421,CE,"Piquet Carneiro","CAPS I ALBENISIO FERNANDES DE ARAUJO","CAPS I","RUA SEVERINO BARBOSA, S/N Bairro: PIQUEZINHO CEP: 63605000 Fone: (88) 98884 1753"
422,CE,Quixadá,"CAPS AD CASA NORTE","CAPS AD","RUA RAIMUNDO GOMES DE OLIVEIRA, 240 Bairro: BAVIERA CEP: 63905055 Fone: 88-3412 - 1390"
423,CE,Quixadá,"CAPS DE QUIXADA 2","CAPS II","RUA BASILIO EMILIANO PINTO, 685 Bairro: COMBATE CEP: 63903415 Fone: (88)34121390"
424,CE,Quixeramobim,"CAPS AD III ALPENDRE","CAPS AD III","CE 166, S/N Bairro: SALVIANO CARLOS CEP: 63800000"
425,CE,Quixeramobim,"CAPS DE QUIXERAMOBIM 2","CAPS II","RUA DOM QUINTINO, 267 Bairro: CENTRO CEP: 63800000 Fone: 34411112"
426,CE,Redenção,"CAPS MARIA CELSA TEIXEIRA DE ARAUJO","CAPS I","AVENIDA DA ABOLICAO, S/N Bairro: CENTRO CEP: 62790000 Fone: 8533321534"
427,CE,Russas,"CENTRO DE ATENCAO PSICOSSOCIAL DE RUSSAS CAPS 2","CAPS II","RUA PADRE ALIPIO, 3216 Bairro: CATUMBELA CEP: 62900000 Fone: 8834118417"
428,CE,"Santana do Acaraú","CENTRO DE APOIO PSICOSOCIAL DE SANTANA DO ACARAU","CAPS I","RUA DR JOSE MENDES, S/N Bairro: CENTRO CEP: 62150000 Fone: (88)36441933"
429,CE,"Santa Quitéria","CAPS I SANTA QUITERIA","CAPS I","RUA DELMIRO GOLVEIA, 501 Bairro: CENTRO CEP: 62280000 Fone: 88 9937504"
430,CE,"São Benedito","CAPS CENTRO DE ATENCAO PSICOSSOCIAL NOSSA SRA DE FATIMA","CAPS I","RUA PEDRO DE OLIVEIRA FREIRE, 400 Bairro: CASTELO CEP: 62370000"
431,CE,"São Gonçalo do Amarante","CAPS II DE SAO GONCALO DO AMARANTE","CAPS II","RUA HILTON LOPES, S/N Bairro: CARIOCA CEP: 62670000"
432,CE,"Senador Pompeu","CENTRO DE ATENCAO PSICOSSOCIAL CAPS 1 DE SENADOR POMPEU","CAPS I","RUA ADONIAS MANO DE CARVALHO, 42 Bairro: CENTRO CEP: 63600000"
433,CE,Sobral,"CAPS AD DE SOBRAL","CAPS AD","TRAVESSA RAIMUNDO MEDEIROS DA FROTA, 241 Bairro: CAMPO DOS VELHOS CEP: 62010970 Fone: 3611 1609"
434,CE,Sobral,"CAPS II DE SOBRAL DAMIAO XIMENES LOPES","CAPS II","RUA CORONEL MONTALVERNE, 53 Bairro: CENTRO CEP: 62010200 Fone: 3611-3414"
435,CE,Solonópole,"CENTRO DA ATENCAO PSICOSSOCIAL CAPS SOLONOPOLE","CAPS I","RUA MANOEL RODRIGUES PINHEIRO, 600 Bairro: DOMINGOS SAVIO CEP: 63620000 Fone: (88)96187442"
436,CE,Tamboril,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS II","CAPS II","RUA JOAQUIM MACEDO DE MELO, S/N Bairro: CENTRO CEP: 63750000 Fone: (88)36171178"
437,CE,Tauá,"CAPS AD CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS","CAPS AD","AV CHERMONT ALVES DE OLIVEIRA, 745 Bairro: VILA JATAI CEP: 63660000 Fone: (88)34373679"
438,CE,Tauá,"CAPS DE TAUA II","CAPS II","RUA HORACIO MARQUES, 624 Bairro: JOSE OSIMO CEP: 63660000 Fone: (88)34373885"
439,CE,Tianguá,"CAPS II DE TIANGUA","CAPS II","RUA FRANCISCO TELES DOURADO, S/N Bairro: CENTRO CEP: 62327170"
440,CE,Trairi,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS I","CELSO BARROSO, S/N Bairro: CENTRO CEP: 62690000 Fone: 85 3351334"
441,CE,Ubajara,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","RUA ISMERINO MAGALHAES, 353 Bairro: CENTRO CEP: 62350000 Fone: 88.3634.1434"
442,CE,Uruburetama,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS I","RUA FARMACEUTICO JOSE RODRIGUES, 1314 Bairro: CENTRO CEP: 62650000 Fone: (85)33531379"
443,CE,"Várzea Alegre","CAPS DE VARZEA ALEGRE","CAPS I","JOSE ALVES BEZERRA, 525 Bairro: RIACHINHO CEP: 63540000"
444,CE,"Viçosa do Ceará","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I VICOSA DO CEARA","CAPS I","RUA FONTENELE SOBRINHO, 678 Bairro: CENTRO CEP: 62300000"
445,DF,Brasília,"CAPS AD SANTA MARIA","CAPS AD","QR 312 CONJUNTO H CASA, 12 Bairro: SANTA MARIA NORTE CEP: 72542508 Fone: 33942513"
446,DF,Brasília,"CAPS AD SOBRADINHO","CAPS AD","AR 17 CHACARA, 14 Bairro: SOBRADINHO II CEP: 73062700"
447,DF,Brasília,"CAPS AD ITAPOA","CAPS AD","QD 378 CJ A AREA ESPECIAL 04, 1 Bairro: PARANOA CEP: 71593620 Fone: 61 20171677 R2252"
448,DF,Brasília,"CAPS GUARA","CAPS AD","QE 23 BL C GUARA II, S/N Bairro: GUARA CEP: 71025000 Fone: ( )"
449,DF,Brasília,"CAPS AD III SAMAMBAIA","CAPS AD III","QS 107 CONJUNTO 07, 07 Bairro: SAMAMBAIA SUL CEP: 72301527 Fone: 33993600"
450,DF,Brasília,"CENTRO DE ATENCAO PSICOSSOCIAL AD III CEILANDIA","CAPS AD III","QNN 16 CEILANDIA, 0 Bairro: CEILANDIA SUL CEP: 72220161 Fone: 6133732179"
451,DF,Brasília,"CAPS INFANTO JUVENIL TAGUATINGA","CAPS AD III","QNF AREA ESPECIAL, 24 Bairro: TAGUATINGA NORTE CEP: 72125750 Fone: 61-2017-1145 R-4260"
452,DF,Brasília,"CENTRO DE ORIENTACAO MEDICO PSICOPEDAGOGICO COMPP","CAPS i","SMHN QD 03 CONJ 01 CONJ A ED COMPP, S/N Bairro: ASA NORTE CEP: 70710100 Fone: (61)20171991"
453,DF,Brasília,"CAPS RIACHO FUNDO","CAPS I","GRANJA DO RIACHO FUNDO EPNB, 4 Bairro: RIACHO FUNDO CEP: 71825300 Fone: (61)33993910"
454,DF,Brasília,"CAPS II PARANOA","CAPS II","QD 2 CJ K AE, 01 Bairro: PARANOA CEP: 71570211 Fone: (61)20171231"
455,DF,Brasília,"CAPS III SAMAMBAIA","CAPS II","QUADRA 302 CONJUNTO, 05 Bairro: SUL CEP: 72300639 Fone: (61)3459-1254"
456,DF,Brasília,"CAPS II TAGUATINGA","CAPS II","QNA 39 AE, 19 Bairro: TAGUATINGA NORTE CEP: 72110390 Fone: 61 33517332"
457,ES,Alegre,"CENTRO DE ATENCAO PSICOSSOCIAL DO MUNICIPIO DE ALEGRE","CAPS I","AV DR OLIVIO CORREA PEDROSA, S/N Bairro: CENTRO CEP: 29500000 Fone: (28)35524463"
458,ES,Anchieta,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","PROJETADA, S/N Bairro: GUANABARA CEP: 29230000 Fone: (28)35363657"
459,ES,"Baixo Guandu","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","RUA FRANCISCO FERREIRA, 243 Bairro: CENTRO CEP: 29730000 Fone: (27) 3732-1375"
460,ES,"Cachoeiro de Itapemirim","CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS CAPS AD","CAPS AD","RUA JOSE LOBATO, 01 Bairro: OTTO MARINS CEP: 29301816 Fone: 28 - 3522 - 4366"
461,ES,"Cachoeiro de Itapemirim","CAPS CACHOEIRO DE ITAPEMIRIM","CAPS II","R ALBANO CUSTODIO, 15 Bairro: GILBERTO MACHADO CEP: 29303370 Fone: 2835211053"
462,ES,Cariacica,"CAPS MOXUARA","CAPS II","RODOVIA GOV JOSE SETTE ALAMEDA ELCIO ALVARES, S/N Bairro: TUCUM CEP: 29152500 Fone: 27 3636-2843"
463,ES,Cariacica,"CAPS CIDADE","CAPS II","BR 262 KM O LADO IMPAR, S/N Bairro: JARDIM AMERICA CEP: 29140261 Fone: 27 36362672"
464,ES,Castelo,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA JOAO VENTURIM FILHO, S/N Bairro: CAVA ROXA CEP: 29360000 Fone: 028-3542-4291"
465,ES,Colatina,"CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGAS CAPSAD","CAPS AD","RUA VICENTE GUERRA, 75 Bairro: CARLOS GERMANO NAUMA CEP: 29700270 Fone: (27) 37215994"
466,ES,Colatina,"CENTRO DE ATENCAO PSICOSSOCIAL DE COLATINA II","CAPS II","RUA PEDRO EPICHIN, 178 Bairro: COLATINA VELHA CEP: 29700200 Fone: (27)37215994"
467,ES,Guaçuí,"CENTRO DE ATENCAO PSICOSSOCIAL FERNANDINHO","CAPS I","RUA MARECHAL DEODORO, 87 Bairro: CENTRO CEP: 29560000 Fone: 2835531268"
468,ES,Guarapari,"CENTRO DE ATENCAO PSICOSSOCIAL DE GUARAPARI CAPS II","CAPS II","RUA PREFEITO EPAMINONDAS DE ALMEIDA, 598 Bairro: CENTRO CEP: 29200186 Fone: (27)3262 2956"
469,ES,"João Neiva","CAPS C DE ATENCAO PSICOSSOCIAL JOAO NEIVA","CAPS I","AV SETE DE SETEMBRO, 280 Bairro: CENTRO CEP: 29680000 Fone: (27)32583974"
470,ES,Linhares,"CAPSII CENTRO DE ATENCAO PSICOSSOCIAL DE LINHARES","CAPS II","AVENIDA AUGUSTO PESTANA, 1143 Bairro: CENTRO CEP: 29900183 Fone: (27)33718453"
471,ES,"Nova Venécia","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","RUA LUIZ ALTOE, S/N Bairro: ALTOE CEP: 29830000 Fone: (27)3752-2180"
472,ES,"São José do Calçado","CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA ROMAO BATISTA, S/N Bairro: CENTRO CEP: 29470000 Fone: 2835561612"
473,ES,"São Mateus","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL I","CAPS I","RUA DOUTOR RAIMUNDO GUILHERME SOBRINHO, 364 Bairro: CENTRO CEP: 29930050 Fone: 2799713147"
474,ES,Serra,"CAPS AD LARANJEIRAS","CAPS AD","RUA ALVARES CABRAL, 213 Bairro: PARQUE RESIDENCIAL L CEP: 29165420 Fone: (27) 3328 - 4745"
475,ES,Serra,"CAPS MESTRE ALVARO","CAPS II","RUA SAO PEDRO, S/N Bairro: JARDIM LIMOEIRO CEP: 29164042 Fone: (27) 3281-4066"
476,ES,"Vargem Alta","CAPS I","CAPS I","RUA SANTA CECILIA, S/N Bairro: CENTRO CEP: 29295000 Fone: 35281123"
477,ES,"Vila Velha","CENTRO DE ATENCAO PSICOSSOCIAL DE VILA VELHA CAPS AD","CAPS AD","RUA PRESIDENTE LIMA, 75 Bairro: CENTRO CEP: 29100330 Fone: (27)3239-9857"
478,ES,Vitória,"CENTRO DE ATENCAO PSICOSSOCIAL AD III","CAPS AD III","RUA ALVARO SARLO, S/N Bairro: ILHA DE SANTA MARIA CEP: 29051100 Fone: (27)31325104/9082"
479,ES,Vitória,"CENTRO DE ATENCAO PSICOSSOCIAL INFANTO JUVENIL","CAPS i","RUA AMELIA DA CUNHA ORNELAS, 431 Bairro: BENTO FERREIRA CEP: 29050620 Fone: 27- 32253698/5497"
480,ES,Vitória,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS II","CAPS II","RUA JOSE DE CARVALHO, 404 Bairro: ILHA DE SANTA MARIA CEP: 29051220 Fone: (27)31325110/5111"
481,ES,Vitória,"CENTRO DE ATENCAO PSICOSSOCIAL SAO PEDRO","CAPS III","RODOVIA SERAFIM DERENZE, S/N Bairro: SAO PEDRO CEP: 29026470 Fone: 27- 33328132"
482,GO,"Águas Lindas de Goiás","CENTRO DE ATENCAO PSICOSSOCIAL DE AGUAS LINDAS CAPS","CAPS II","QUADRA 15 LOTE, 21 Bairro: JARDIM BRASILIA CEP: 72915021 Fone: (61)3168-8340"
483,GO,Alexânia,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL DE ALEXANIA","CAPS I","AV 15 DE NOVEMBRO QD 33 LT 11, S/N Bairro: AREA ESPECIAL CEP: 72930000 Fone: 62-33361456"
484,GO,Anápolis,"CAPS VIVER AD","CAPS AD","RUA QUINTINO BOCAIUVA, 1427 Bairro: CENTRO CEP: 75023057 Fone: (62)39021299"
485,GO,Anápolis,"CAPSI CRESCER ANAPOLIS","CAPS i","RUA 7 DE SETEMBRO, 743 Bairro: CENTRO CEP: 75020420 Fone: (62)3902-2615"
486,GO,Anápolis,"CAPS VIDATIVA","CAPS II","RUA 1 DE MAIO, 26 Bairro: CENTRO CEP: 75025050 Fone: (62) 39021698"
487,GO,Anicuns,"CAPS NOVO HORIZONTE ANICUNS","CAPS I","RUA RIO TURVO, S/N Bairro: RESIDENCIAL VALE DA CEP: 76170000 Fone: 6435643716"
488,GO,"Aparecida de Goiânia","CAPS AD III INFANTO JUVENIL","CAPS AD III","RUA A 02 ESQ RUA A 03, S/N Bairro: RESIDENCIAL ANHAMBI CEP: 74915350 Fone: 32559690"
489,GO,"Aparecida de Goiânia","CAPS AD III CRIARTE VIDA","CAPS AD III","AV MAJOR MANOEL AUGUSTO SILVA BRANDAO, S/N Bairro: VEIGA JARDIM II CEP: 74954410 Fone: 62-3545 9104"
490,GO,"Aparecida de Goiânia","CAPS INFANTIL","CAPS i","AV BRASILIA, S/N Bairro: VILA BRASILIA CEP: 74975055 Fone: 62-3545-9970"
491,GO,"Aparecida de Goiânia","CAPS III BEM ME QUER","CAPS III","RUA A02, S/N Bairro: RESIDENCIAL ANHEMBI CEP: 74975055 Fone: 62-3545-5969/5997"
492,GO,Aragarças,"CENTRO DE ATENCAO PSICOSSOCIAL MODALIDADE 1","CAPS I","RUA FRANCISCO ALBUQUERQUE MILHOMEM ESQ RUA ERNESTO JOSE BARB, 1 Bairro: CENTRO ADMINISTRATIV CEP: 76240000"
493,GO,"Bela Vista de Goiás","CAPS I","CAPS I","RUA 21 DE ABRIL, S/N Bairro: SAO JORGE CEP: 75240000 Fone: 62 3551-7069"
494,GO,"Caldas Novas","CENTRO DE ATENCAO PSICOSOCIAL ALCOOL E DROGA CAPS AD","CAPS AD","RUA M, 01 Bairro: NOVA VILA CEP: 75681654 Fone: (64) 3454-6835"
495,GO,"Caldas Novas","CAPS CENTRO DE ATENCAO PSICOSOCIAL TEREZINHA MELO DE SOUSA","CAPS II","RUA Q, S/N Bairro: NOVA VILA CEP: 75681646 Fone: (64) 3454-6840"
496,GO,Catalão,"CENTRO DE ATENCAO PSICOSSOCIAL JOSE EVANGELISTA DA ROCHA","CAPS I","RUA DA RESISTENCIA, 563 Bairro: VILA TEOTONIO VILELA CEP: 75702040 Fone: (64)3441-1813"
497,GO,Ceres,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS","CAPS I","AVENIDA DAS ESPATODIAS, 01 Bairro: MORADA VERDE CEP: 76300000"
498,GO,Cristalina,"CAPS CRISTALINA CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AV KALED COSAC QD 59 LOTE 12, S/N Bairro: SETOR NOROESTE CEP: 73850000 Fone: 36124121"
499,GO,Crixás,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS DE CRIXAS","CAPS I","RUA N, 82 Bairro: VILA SAO JOAO CEP: 76510000"
500,GO,Formosa,"CENTRO DE ATENCAO PSICOSOCIAL CAPS","CAPS II","AV VALERIANO DE CASTRO, S/N Bairro: ST NORDESTE CEP: 73801100 Fone: (61)3981-1130"
501,GO,Goiânia,"CENTRO DE ATENCAO A SAUDE DE ALCOOLISTAS E TOXIC CAPSAD","CAPS AD","RUA 3A, 185 Bairro: AEROPORTO CEP: 74075090 Fone: (62) 35241703 / 1739"
502,GO,Goiânia,"CENTRO DE ATENCAO PSICOSSOCIAL GIRASSOL","CAPS AD","RUA R 5, S/N Bairro: OESTE CEP: 74125070 Fone: 62 - 35242489"
